nomoffre;type;typehabitation;adresse1;adresse1suite;adresse2;adresse3;codepostal;commune;cedex;codeinseecommune;latitude;longitude;acces;commmob;commtel;commfax;commmail;commweb;videosurl;plateformeurl;spvideosembed;tripadwidget;animauxacceptes;animauxinfo;labeltourismehandicap;spaccessibilite;spaccueilveloitineraire;equipements;confortimmobilier;confortmobilier;labels;labelsclassement;categorie;capacitenbchambres;capacitenbchambresmobreduite;capacitenbhebergements;capacitenbpersonnes;capacitesurface;services;languesparleesaccueil;ouverturealannee;ouverturegranule;resadirecte;resaenligneouinon;resaenligne;resaagence;tarifs;modepaiement;localisation;departement
Gîte l'Atelier des Peintres;Meublés;Maison;;;;La Morinière - ANDREZE;49600;BEAUPREAU-EN-MAUGES;;49023;47.169597;-0.961699;;06 33 35 73 57;02 41 75 40 30;partenaire ôsezMauges 23;;https://www.chateau-de-la-moriniere.com/;;Facebook||https://www.facebook.com/chateaudelamoriniere/,Tripadvisor||https://www.tripadvisor.fr/Hotel_Review-g1544302-d1540828-Reviews-Chateau_de_la_Moriniere-Andreze_Maine_et_Loire_Pays_de_la_Loire.html;;;;;;non;;Parc/jardin,Piscine,WiFi;"Entrée indépendante;Jardin indépendant;Parking;Terrasse / Balcon";Cheminée,Micro ondes,Lave linge,Lave vaisselle,Sèche linge;;;Non classé;5;;1;15;300;Fourniture de draps (gratuit);;oui;01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;oui;||https://www.chateau-de-la-moriniere.com/reservation/||||02 41 75 40 30||contact@chateau-de-la-moriniere.com;;Nuitée (meublé)||199,00||||;"Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces";47.169597,-0.961699;Maine-et-Loire
Le petit gîte de la Piquelière;Meublés;Maison;;;;La Piquelière;49220;CHAMBELLAY;;49064;47.6854;-0.67909;;06 63 64 48 20;;;;;;;;;non;;;non;;WiFi;"Entrée indépendante;Terrain clos;Terrasse / Balcon";Micro ondes,Lave vaisselle;Gîtes de France;2 épis (Gîtes de France);2 étoiles;1;0;1;2;;;Français;oui;01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;oui;Airbnb||https://www.airbnb.fr/rooms/717101191508935764?check_in=2022-10-19&check_out=2022-10-24&guests=1&adults=2&s=67&unique_share_id=05f1297e-97f5-4efb-8f65-97523718d330||||||;;Nuitée (meublé)||70,00||85,00||,Taxe de séjour / nuit / pers||0,60||0,60||Taxe de séjour appliquée toute l'année;Virement;47.6854,-0.67909;Maine-et-Loire
Domaine des Arbres - gîte le Noyer;Meublés;Maison;;;;La Putonnière;49220;MONTREUIL-SUR-MAINE;;49217;47.668291;-0.718382;;06 83 49 35 47;;;;https://domainedesarbres.com/contact-us/;;;;;non;;;non;;Piscine,WiFi;"Entrée indépendante;Jardin indépendant;Parking;Sanitaires privés;Terrasse / Balcon";Equipement bébé,Micro ondes,Lave linge,Lave vaisselle;;;3 étoiles;4;1;1;9;130;Fourniture de draps (gratuit),Location de linge,Nettoyage (gratuit);"Anglais;Français";;08/04/2024||22/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;Karen Anderson||||gitesoudon-mayenne@outlook.com;;;;"Week-end (meublé)||612,00||650,00||Prix minimum de 2 nuits;comprend les draps, l'utilisation de la piscine chauffée, l'électricité, l'eau, le wifi et le nettoyage.,Semaine (meublé)||1827,00||2142,00||,Taxe de séjour / nuit / pers||0,70||0,70||Taxe de séjour appliquée à l'année";"Chèques bancaires et postaux;Virement";47.668291,-0.718382;Maine-et-Loire
Gîte de la Tuffière;Meublés;Maison;;;;La Tuffiere;72360;VERNEIL-LE-CHETIF;;72369;47.7254043;0.29579872;;07 70 31 63 99;;;;;;;;;oui;;;non;;WiFi;"Entrée indépendante;Jardin indépendant;Local vélo;Parking;Sanitaires privés;Terrain clos;Toilettes séparées";Cheminée,Equipement bébé,Micro ondes,Lave linge,Lave vaisselle;;;Non classé;3;;1;8;120;Fourniture de draps (gratuit),Fourniture de linge (gratuit);Français;oui;;;;;;Nuitée (meublé)||||||A partir de,Semaine (meublé)||950,00||||,Week-end (meublé)||349,00||||,Nuitée (meublé)||175,00||||2 nuits minimum;Cartes bancaires;47.7254043,0.29579872;Sarthe
La Maison Bleue;Meublés;Maison;;;;Le Bois Robert, l'Hôtellerie de Flée;49520;SEGRE-EN-ANJOU BLEU;;49331;47.74164;-0.87398;;;02 43 06 82 23;;;;;;;;;;;non;;WiFi;Toilettes séparées;Cheminée,Equipement bébé,Lave linge,Lave vaisselle,Sèche linge;Gîtes de France;3 épis (Gîtes de France);Non classé;6;;1;10;130;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Option nettoyage;;oui;01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;M. et Mme CHAZE||02 43 06 82 23||ph.chaze@orange.fr;oui;Gîtes de France||https://reservation.gites-de-france-mayenne.com/fr/reservation/H49G010722||||02 43 67 09 07||reservation@gites-de-france-mayenne.com;;Semaine (meublé)||550,00||690,00||;;47.74164,-0.87398;Maine-et-Loire
Gîte du Cormier;Meublés;;;;;Le Cormier;72370;LE BREIL-SUR-MERIZE;;72046;47.989312;0.54530899;;06 81 59 82 04;02 43 42 04 70;;;;;;;;;;;non;;;;;;;;5;;;14;;;;oui;;;;;;;;47.989312,0.54530899;Sarthe
Grand Gîte les Hoisminières;Meublés;Maison;;;;Les Hoisminières;53290;BIERNE-LES-VILLAGES;;53029;47.8123627;-0.5170277;;06 07 60 23 39;;;;;;;;;;;;non;;Parc/jardin,Plan d'eau,WiFi;"Entrée indépendante;Jardin indépendant;Plain Pied;Sanitaires privés;Terrain clos;Terrasse / Balcon";Equipement bébé,Micro ondes,Lave linge,Lave vaisselle;;;Non classé;4;;1;12;107;Fourniture de draps (gratuit);;oui;;;oui;||http://www.airbnb.fr/rooms/13726472||||||;;Nuitée (meublé)||||||Tarif week-end (3 nuits minimum);;47.8123627,-0.5170277;Mayenne
Gîte Equilibre Toit;Meublés;Maison;;;;Lieu-dit La Chabossière, Marigné;49330;LES HAUTS-D'ANJOU;;49080;47.708022;-0.599397;;06 13 55 28 44;;;;;;;;;oui;Sous conditions;;non;;Parc/jardin,WiFi;"Jardin indépendant;Local vélo;Parking;Sanitaires privés;Terrain clos;Terrasse / Balcon";Equipement bébé,Micro ondes,Lave linge,Lave vaisselle;;;2 étoiles;1;0;1;2;35;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Option nettoyage;"Anglais;Français";oui;01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||06 13 55 28 44||equilibretoit49@gmail.com;;;;Nuitée (meublé)||50,00||50,00||A partir de 2 nuits pour 2 personnes,Semaine (meublé)||350,00||350,00||Hors vacances scolaires,Semaine (meublé)||450,00||450,00||Vacances scolaires,Taxe de séjour / nuit / pers||0,60||0,60||Taxe de séjour appliquée à l'année;"Chèques bancaires et postaux;Espèces;Virement";47.708022,-0.599397;Maine-et-Loire
Chambre d'hôte familiale Les Raseries;Chambres d'hôtes;Maison;;;;Lieu-dit la Raserie;72300;LA CHAPELLE-D'ALIGNE;;72061;47.7184017;-0.2596849;;06 13 25 42 47;;;;;;;;;non;;;non;;Parc/jardin,WiFi;"Local vélo;Parking;Sanitaires privés;Terrain clos;Terrasse / Balcon";Micro ondes;;;;1;;1;5;45;Fourniture de draps (gratuit),Fourniture de linge (gratuit);Français;non;01/01/2024||06/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,07/12/2024||06/02/2025||||Chambre d'hôtes Fermée ||||||||||||||||||||||||||||||||||||||||||||||||||||||||,07/02/2025||15/11/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;"1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||80,00||80,00||Enfant moins de deux ans qui dort dans lit parapluie : gratuit ;;28 par adulte supplémentaire;23€ par enfant -10ans;,1 chbre 1 nuit 1 prs ptit dej (chambres d'hôtes)||65,00||65,00||Enfant moins de deux ans qui dort dans lit parapluie : gratuit ;;28 par adulte supplémentaire;23€ par enfant -10ans,Taxe de séjour / nuit / pers||0,66||0,66||";"Chèques bancaires et postaux;Espèces";47.7184017,-0.2596849;Sarthe
Gîte La Maison d'Agathe;Meublés;Maison;;;;Lieu-dit Les Vallées;53290;BOUESSAY;;53037;47.8818327;-0.3951606;;06 77 79 94 44;;;;https://la-maison-dagathe-gite-familial.business.site/;;Facebook||https://www.facebook.com/Gite.maisondagathe,Instagram||https://www.instagram.com/gite.maisondagathe/;;;non;;;non;;Parc/jardin,WiFi;"Entrée indépendante;Jardin indépendant";Equipement bébé,Micro ondes,Lave vaisselle;;;3 étoiles;3;;1;10;;Location de draps,Location de linge,Option nettoyage;"Anglais;Français";oui;;||06 77 79 94 44||maisondagathe@gmail.com;oui;Airbnb||https://www.airbnb.fr/rooms/43474557?source_impression_id=p3_1615281424_lTnCnehnRFJuSYhE&guests=1&adults=1||||||;;Semaine (meublé)||||||Du lundi soir au jeudi soir. Draps fournis. Supplément linge de toilette.,Week-end (meublé)||||||Weekend (vendredi soir et samedi soir). Draps fournis. Supplément linge de toilette.,Semaine (meublé)||||||Semaine complète 7 jours. Draps fournis.;"Chèques bancaires et postaux;Espèces;Virement";47.8818327,-0.3951606;Mayenne
L'Escale des Roses;Meublés;;;;1 Bd Jacques Savary;;49700;DOUE-EN-ANJOU;;49125;47.187638;-0.279386;;;06 50 27 83 79;;;;;;;;oui;;;;;;Parking;Micro ondes,Lave linge,Lave vaisselle;;;Non classé;;;;6;;;Français;;01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.187638,-0.279386;Maine-et-Loire
L'Escale;Meublés;Maison;;;1 bis rue de la Croix Mouraud;L'escale;44770;LA PLAINE-SUR-MER;;44126;47.138069;-2.192914;;+33683686187;;;;;;;;;non;;;;;WiFi;;Cheminée,Micro ondes,Lave linge,Lave vaisselle;;;3 étoiles;3;;;8;130;Fourniture de draps (gratuit),Location/prêt de vélo;;oui;||||Ouvert toute l'année.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;||+33683686187||;;;;Nuitée (meublé)||350,00||390,00||,Semaine (meublé)||730,00||900,00||;"Chèques bancaires et postaux;Chèques Vacances";47.138069,-2.192914;Loire-Atlantique
Le Jardin de Retz;Chambres d'hôtes;Maison;;;1 chemin des Mousseaux;;44210;PORNIC;;44131;47.11543;-2.10692;;06 30 07 07 66;;;;http://www.lejardinderetz.fr;;;;;non;;;;;WiFi;"Entrée indépendante;Parking;Terrasse / Balcon";;B&B;;;2;;;4;;;;;01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;Taxe de séjour / nuit / pers||0,88||0,88||;"Chèques bancaires et postaux;Chèques Vacances;Espèces";47.11543,-2.10692;Loire-Atlantique
Gite La Maison de Margot;Meublés;Maison;;;1 rue de la Judée;Saint-Cyr-en-Bourg;49400;BELLEVIGNE-LES-CHATEAUX;;49060;47.19558;-0.061523;;;02 41 51 60 52;;;http://www.domaine-fouet.com;;||https://www.facebook.com/VinsSaumurChampigny/,||https://goo.gl/maps/Dx4qzz9nJRGyACK37;;;non;;;non;;;Entrée indépendante;Micro ondes,Lave linge;;;Non classé;1;;;2;45;Fourniture de draps (gratuit),Fourniture de linge (gratuit);"Anglais;Espagnol;Français";;01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;||||||A partir de;"Chèques bancaires et postaux;Espèces;Virement";47.19558,-0.061523;Maine-et-Loire
Gite La Thibaudiere;Meublés;;;;1 rue des Vergers;Ambillou-Château;49700;TUFFALUN;;49003;47.27;-0.31695;;;02 41 59 31 43;;;https://www.gite-lathibaudiere.fr/;;;;;non;;;non;;Parc/jardin,WiFi;"Entrée indépendante;Jardin indépendant;Parking;Terrain clos;Toilettes séparées";Equipement bébé,Lave linge,Lave vaisselle;;;3 étoiles;4;;;9;100;Location de draps;Français;;01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;||||||Réservation de 2 nuits minimum.,||||||Location possible au week-end,||||||par adulte par nuitée;"Chèques bancaires et postaux;Espèces;Virement";47.27,-0.31695;Maine-et-Loire
Gîte Hyrôme;Meublés;;;;1 Rue du Coureau;La Bohalle;49800;LOIRE-AUTHION;;49307;47.418789;-0.369678;;06 79 97 96 46;;;;https://labohalloire.com/;;Google+||https://maps.google.com/?cid=1507742441932025293,Instagram||https://www.instagram.com/labohalloire/;;;;;;non;;Local Vélo,Parc/jardin,Piscine,WiFi;"Garage;Jardin indépendant;Parking;Terrasse / Balcon;Toilettes séparées";Micro ondes,Lave linge;Gîtes de France;3 épis (Gîtes de France);;1;;;4;;Fourniture de draps (gratuit),Fourniture de linge (gratuit),Location de draps,Location de linge;;;01/07/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||;;;;;;;47.418789,-0.369678;Maine-et-Loire
