nomoffre,type,typehabitation,adresse1,adresse1suite,adresse2,adresse3,codepostal,commune,cedex,codeinseecommune,latitude,longitude,acces,commmob,commtel,commfax,commmail,commweb,videosurl,plateformeurl,spvideosembed,tripadwidget,animauxacceptes,animauxinfo,labeltourismehandicap,spaccessibilite,spaccueilveloitineraire,equipements,confortimmobilier,confortmobilier,labels,labelsclassement,categorie,capacitenbchambres,capacitenbchambresmobreduite,capacitenbhebergements,capacitenbpersonnes,capacitesurface,services,languesparleesaccueil,ouverturealannee,ouverturegranule,resadirecte,resaenligneouinon,resaenligne,resaagence,tarifs,modepaiement,localisation,departement
Gite - Maison avec jardin à Chacé,Meublés,Maison,0,0,0,Chacé,49400.0,BELLEVIGNE-LES-CHATEAUX,0.0,49060,47.215674,-0.077697,0,0,06 71 46 20 13,0,0.0,0,0,0,0,0,oui,0,0,0,0,0,Parking,Lave linge,0,0,Non classé,3.0,0.0,0.0,6.0,100,Fourniture de linge (gratuit),Français,0,01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,0,0,0,0.0,0,0,"47.215674,-0.077697",Maine-et-Loire
Gîte les Buis de Chantepie,Meublés,Maison,0,0,0,Epineux-le-Seguin,53340.0,VAL-DU-MAINE,0.0,53017,47.94213,-0.36154,0,0,0,0,0.0,0,0,0,0,0,non,0,0,non,0,"Parc/jardin,Piscine,Plan d'eau,WiFi",Entrée indépendante;Jardin indépendant;Parking;Plain Pied;Sanitaires privés;Terrasse / Balcon;Toilettes séparées,"Cheminée,Equipement bébé,Lave linge",0,0,0,2.0,0.0,1.0,4.0,75,"Fourniture de draps (gratuit),Location de linge,Option nettoyage",0,0,0,0,0,0,0.0,0,0,"47.94213,-0.36154",Mayenne
Gîte de l'Eglorière,Meublés,0,0,0,0,L'Eglorière,53400.0,LIVRE-LA-TOUCHE,0.0,53135,47.9128111,-0.9676379,0,06 88 31 58 94,0,0,0.0,http://www.anjou-gite.com/,0,0,0,0,0,0,0,non,0,Piscine couverte,Jardin indépendant,0,0,0,Non classé,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,"Semaine (meublé)||500,00||800,00||",0,"47.9128111,-0.9676379",Mayenne
Chambres d'hôtes The Secret Garden,Chambres d'hôtes,Maison,0,0,0,L'Huilerie,72150.0,COURDEMANCHE,0.0,72103,47.7933359,0.547606,0,0,02 43 46 28 05,0,0.0,http://thesecretgarden-france.com,0,Tripadvisor||http://www.tripadvisor.com/Hotel_Review-g1932280-d4453678-Reviews-The_Secret_Garden-Courdemanche_Sarthe_Pays_de_la_Loire.html,0,http://www.tripadvisor.com/Hotel_Review-g1932280-d4453678-Reviews-The_Secret_Garden-Courdemanche_Sarthe_Pays_de_la_Loire.html,0,On request,0,non,0,WiFi,Jardin indépendant;Parking;Sanitaires privés;Terrasse / Balcon,"Equipement bébé,Micro ondes,Lave vaisselle","B&B,Welcome",0,0,4.0,2.0,1.0,9.0,0,0,Anglais;Français;Néerlandais,oui,0,Lesley Woermeijer||02 43 46 28 05||,0,0,0.0,0,Chèques bancaires et postaux,"47.7933359,0.547606",Sarthe
GÎTE DE LA BARONNERIE,Meublés,Appartement,0,0,0,La Baronnerie,49290.0,CHALONNES-SUR-LOIRE,0.0,49063,47.3576969,-0.7437109,0,06 33 36 40 73,0,0,0.0,0,0,0,0,0,non,0,0,non,0,WiFi,Entrée indépendante;Jardin indépendant;Parking;Sanitaires privés;Terrasse / Balcon,0,0,0,Non classé,1.0,0.0,0.0,4.0,20,"Location de draps,Location de linge,Option nettoyage",Anglais,oui,0,"||06 33 36 40 73||julien.defois@hotmail.fr,||06 89 50 97 69||clairechateigner@gmail.com",0,0,0.0,0,Chèques bancaires et postaux;Espèces,"47.3576969,-0.7437109",Maine-et-Loire
Chez Isa,Meublés,Roulotte,0,0,0,La Bellonnière (Bazouges-sur-le-Loir),72200.0,BAZOUGES CRÉ SUR LOIR,0.0,72025,47.7118579,-0.173889,0,06 79 50 23 33,0,0,0.0,0,0,0,0,0,non,0,0,non,0,"Parc/jardin,Piscine",Entrée indépendante;Parking;Sanitaires privés;Terrain clos;Terrasse / Balcon;Toilettes séparées,Micro ondes,0,0,Non classé,1.0,0.0,1.0,4.0,0,0,Français,oui,0,0,0,0,0.0,"Nuitée (meublé)||||||+15€ par personne supplémentaire (maximum 2 personnes),Week-end (meublé)||||||+15€ par personne supplémentaire (maximum 2 personnes),Semaine (meublé)||||||De 2 à 4 personnes",Chèques bancaires et postaux;Espèces,"47.7118579,-0.173889",Sarthe
CHAMBRES D'HÔTE - P'TIT LOFT À LA FERME,Chambres d'hôtes,Maison,0,0,0,La Ferrocherie,72380.0,SAINT-JEAN-D'ASSE,0.0,72290,48.1672566,0.07817285,0,0,06 85 97 42 77,0,0.0,0,0,0,0,0,non,0,0,non,0,"Climatisation,Parc/jardin,WiFi",Entrée indépendante;Parking;Sanitaires privés;Terrasse / Balcon,"Equipement bébé,Micro ondes,Sèche linge",0,0,0,1.0,0.0,1.0,4.0,0,"Fourniture de draps (gratuit),Fourniture de linge (gratuit)",Anglais;Français,oui,0,Tricot Françoise ||06 85 97 42 77||,oui,Airbnb||https://www.airbnb.fr/rooms/12851076?source_impression_id=p3_1614957605_5uh2aOgJ0oFy09os||||||,0.0,"1 chbre 1 nuit 1 prs ptit dej (chambres d'hôtes)||||||13€ / personne supplémentaire,1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||||||13€ / personne supplémentaire",Chèques bancaires et postaux;Espèces,"48.1672566,0.07817285",Sarthe
Chambres d'hôtes - La Grange de Beauvais,Chambres d'hôtes,0,0,0,0,La Grange de Beauvais,72440.0,VOLNAY,0.0,72382,47.944722,0.453438,0,06.82.22.23.85,0,0,0.0,0,0,0,0,0,oui,0,0,non,0,Parc/jardin,0,0,0,0,0,3.0,0.0,0.0,0.0,0,0,Français,oui,0,||06 82 22 23 85||jacques.chauviere@laposte.net,0,0,0.0,0,Chèques bancaires et postaux,"47.944722,0.453438",Sarthe
La Closerie de la Hérissière - Chambres d'hôtes l'Ecurie,Chambres d'hôtes,Maison,0,0,0,La Hérissière,49220.0,LA JAILLE-YVON,0.0,49161,47.716693,-0.673638,0,0,09 61 46 90 91,0,0.0,http://www.laherissiere.fr/,0,"Facebook||https://www.facebook.com/pages/La-Closerie-de-la-Herissiere/305980876125751?ref=hl,Tripadvisor||http://www.tripadvisor.fr/Hotel_Review-g425085-d2485304-Reviews-La_Closerie_de_la_Herissiere-La_Jaille_Yvon_Maine_et_Loire_Anjou_Loire_Valley_Pays_de_.html,Google+||https://www.google.com/settings/account?tab=4",0,0,non,0,0,non,0,"Parc/jardin,WiFi",Jardin indépendant;Parking;Plain Pied;Terrasse / Balcon,Equipement bébé,0,0,0,3.0,0.0,1.0,6.0,0,"Fourniture de draps (gratuit),Fourniture de linge (gratuit),Nettoyage (gratuit)",Allemand;Anglais;Espagnol;Français,oui,"01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||",Mme Monday Evelyn||06 85 81 58 07||lacloserie.herissiere@gmail.com,0,0,0.0,"1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||86,00||105,00||86€ = chambre de l'Oncle Alfred;100€ = verger d'Hélène;105€ = chambre de l'écuyère;,Taxe de séjour / nuit / pers||0,50||0,50||Taxe de séjour appliquée du 1er avril au 31 octobre",Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces;Virement,"47.716693,-0.673638",Maine-et-Loire
Gîte l'Atelier des Peintres,Meublés,Maison,0,0,0,La Morinière - ANDREZE,49600.0,BEAUPREAU-EN-MAUGES,0.0,49023,47.169597,-0.961699,0,06 33 35 73 57,02 41 75 40 30,partenaire ôsezMauges 23,0.0,https://www.chateau-de-la-moriniere.com/,0,"Facebook||https://www.facebook.com/chateaudelamoriniere/,Tripadvisor||https://www.tripadvisor.fr/Hotel_Review-g1544302-d1540828-Reviews-Chateau_de_la_Moriniere-Andreze_Maine_et_Loire_Pays_de_la_Loire.html",0,0,0,0,0,non,0,"Parc/jardin,Piscine,WiFi",Entrée indépendante;Jardin indépendant;Parking;Terrasse / Balcon,"Cheminée,Micro ondes,Lave linge,Lave vaisselle,Sèche linge",0,0,Non classé,5.0,0.0,1.0,15.0,300,Fourniture de draps (gratuit),0,oui,"01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||",0,oui,||https://www.chateau-de-la-moriniere.com/reservation/||||02 41 75 40 30||contact@chateau-de-la-moriniere.com,0.0,"Nuitée (meublé)||199,00||||",Cartes bancaires;Chèques bancaires et postaux;Chèques Vacances;Espèces,"47.169597,-0.961699",Maine-et-Loire
Le petit gîte de la Piquelière,Meublés,Maison,0,0,0,La Piquelière,49220.0,CHAMBELLAY,0.0,49064,47.6854,-0.67909,0,06 63 64 48 20,0,0,0.0,0,0,0,0,0,non,0,0,non,0,WiFi,Entrée indépendante;Terrain clos;Terrasse / Balcon,"Micro ondes,Lave vaisselle",Gîtes de France,2 épis (Gîtes de France),2 étoiles,1.0,0.0,1.0,2.0,0,0,Français,oui,"01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||",0,oui,Airbnb||https://www.airbnb.fr/rooms/717101191508935764?check_in=2022-10-19&check_out=2022-10-24&guests=1&adults=2&s=67&unique_share_id=05f1297e-97f5-4efb-8f65-97523718d330||||||,0.0,"Nuitée (meublé)||70,00||85,00||,Taxe de séjour / nuit / pers||0,60||0,60||Taxe de séjour appliquée toute l'année",Virement,"47.6854,-0.67909",Maine-et-Loire
Domaine des Arbres - gîte le Noyer,Meublés,Maison,0,0,0,La Putonnière,49220.0,MONTREUIL-SUR-MAINE,0.0,49217,47.668291,-0.718382,0,06 83 49 35 47,0,0,0.0,https://domainedesarbres.com/contact-us/,0,0,0,0,non,0,0,non,0,"Piscine,WiFi",Entrée indépendante;Jardin indépendant;Parking;Sanitaires privés;Terrasse / Balcon,"Equipement bébé,Micro ondes,Lave linge,Lave vaisselle",0,0,3 étoiles,4.0,1.0,1.0,9.0,130,"Fourniture de draps (gratuit),Location de linge,Nettoyage (gratuit)",Anglais;Français,0,"08/04/2024||22/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||",Karen Anderson||||gitesoudon-mayenne@outlook.com,0,0,0.0,"Week-end (meublé)||612,00||650,00||Prix minimum de 2 nuits;comprend les draps, l'utilisation de la piscine chauffée, l'électricité, l'eau, le wifi et le nettoyage.,Semaine (meublé)||1827,00||2142,00||,Taxe de séjour / nuit / pers||0,70||0,70||Taxe de séjour appliquée à l'année",Chèques bancaires et postaux;Virement,"47.668291,-0.718382",Maine-et-Loire
Gîte de la Tuffière,Meublés,Maison,0,0,0,La Tuffiere,72360.0,VERNEIL-LE-CHETIF,0.0,72369,47.7254043,0.29579872,0,07 70 31 63 99,0,0,0.0,0,0,0,0,0,oui,0,0,non,0,WiFi,Entrée indépendante;Jardin indépendant;Local vélo;Parking;Sanitaires privés;Terrain clos;Toilettes séparées,"Cheminée,Equipement bébé,Micro ondes,Lave linge,Lave vaisselle",0,0,Non classé,3.0,0.0,1.0,8.0,120,"Fourniture de draps (gratuit),Fourniture de linge (gratuit)",Français,oui,0,0,0,0,0.0,"Nuitée (meublé)||||||A partir de,Semaine (meublé)||950,00||||,Week-end (meublé)||349,00||||,Nuitée (meublé)||175,00||||2 nuits minimum",Cartes bancaires,"47.7254043,0.29579872",Sarthe
La Maison Bleue,Meublés,Maison,0,0,0,"Le Bois Robert, l'Hôtellerie de Flée",49520.0,SEGRE-EN-ANJOU BLEU,0.0,49331,47.74164,-0.87398,0,0,02 43 06 82 23,0,0.0,0,0,0,0,0,0,0,0,non,0,WiFi,Toilettes séparées,"Cheminée,Equipement bébé,Lave linge,Lave vaisselle,Sèche linge",Gîtes de France,3 épis (Gîtes de France),Non classé,6.0,0.0,1.0,10.0,130,"Fourniture de draps (gratuit),Fourniture de linge (gratuit),Option nettoyage",0,oui,01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,M. et Mme CHAZE||02 43 06 82 23||ph.chaze@orange.fr,oui,Gîtes de France||https://reservation.gites-de-france-mayenne.com/fr/reservation/H49G010722||||02 43 67 09 07||reservation@gites-de-france-mayenne.com,0.0,"Semaine (meublé)||550,00||690,00||",0,"47.74164,-0.87398",Maine-et-Loire
Gîte du Cormier,Meublés,0,0,0,0,Le Cormier,72370.0,LE BREIL-SUR-MERIZE,0.0,72046,47.989312,0.54530899,0,06 81 59 82 04,02 43 42 04 70,0,0.0,0,0,0,0,0,0,0,0,non,0,0,0,0,0,0,0,5.0,0.0,0.0,14.0,0,0,0,oui,0,0,0,0,0.0,0,0,"47.989312,0.54530899",Sarthe
Grand Gîte les Hoisminières,Meublés,Maison,0,0,0,Les Hoisminières,53290.0,BIERNE-LES-VILLAGES,0.0,53029,47.8123627,-0.5170277,0,06 07 60 23 39,0,0,0.0,0,0,0,0,0,0,0,0,non,0,"Parc/jardin,Plan d'eau,WiFi",Entrée indépendante;Jardin indépendant;Plain Pied;Sanitaires privés;Terrain clos;Terrasse / Balcon,"Equipement bébé,Micro ondes,Lave linge,Lave vaisselle",0,0,Non classé,4.0,0.0,1.0,12.0,107,Fourniture de draps (gratuit),0,oui,0,0,oui,||http://www.airbnb.fr/rooms/13726472||||||,0.0,Nuitée (meublé)||||||Tarif week-end (3 nuits minimum),0,"47.8123627,-0.5170277",Mayenne
Gîte Equilibre Toit,Meublés,Maison,0,0,0,"Lieu-dit La Chabossière, Marigné",49330.0,LES HAUTS-D'ANJOU,0.0,49080,47.708022,-0.599397,0,06 13 55 28 44,0,0,0.0,0,0,0,0,0,oui,Sous conditions,0,non,0,"Parc/jardin,WiFi",Jardin indépendant;Local vélo;Parking;Sanitaires privés;Terrain clos;Terrasse / Balcon,"Equipement bébé,Micro ondes,Lave linge,Lave vaisselle",0,0,2 étoiles,1.0,0.0,1.0,2.0,35,"Fourniture de draps (gratuit),Fourniture de linge (gratuit),Option nettoyage",Anglais;Français,oui,"01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,01/01/2025||31/12/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||",||06 13 55 28 44||equilibretoit49@gmail.com,0,0,0.0,"Nuitée (meublé)||50,00||50,00||A partir de 2 nuits pour 2 personnes,Semaine (meublé)||350,00||350,00||Hors vacances scolaires,Semaine (meublé)||450,00||450,00||Vacances scolaires,Taxe de séjour / nuit / pers||0,60||0,60||Taxe de séjour appliquée à l'année",Chèques bancaires et postaux;Espèces;Virement,"47.708022,-0.599397",Maine-et-Loire
Chambre d'hôte familiale Les Raseries,Chambres d'hôtes,Maison,0,0,0,Lieu-dit la Raserie,72300.0,LA CHAPELLE-D'ALIGNE,0.0,72061,47.7184017,-0.2596849,0,06 13 25 42 47,0,0,0.0,0,0,0,0,0,non,0,0,non,0,"Parc/jardin,WiFi",Local vélo;Parking;Sanitaires privés;Terrain clos;Terrasse / Balcon,Micro ondes,0,0,0,1.0,0.0,1.0,5.0,45,"Fourniture de draps (gratuit),Fourniture de linge (gratuit)",Français,non,"01/01/2024||06/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,07/12/2024||06/02/2025||||Chambre d'hôtes Fermée ||||||||||||||||||||||||||||||||||||||||||||||||||||||||,07/02/2025||15/11/2025||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||",0,0,0,0.0,"1 chbre 1 nuit 2 pers ptit dej (chambres d'hôtes)||80,00||80,00||Enfant moins de deux ans qui dort dans lit parapluie : gratuit ;;28 par adulte supplémentaire;23€ par enfant -10ans;,1 chbre 1 nuit 1 prs ptit dej (chambres d'hôtes)||65,00||65,00||Enfant moins de deux ans qui dort dans lit parapluie : gratuit ;;28 par adulte supplémentaire;23€ par enfant -10ans,Taxe de séjour / nuit / pers||0,66||0,66||",Chèques bancaires et postaux;Espèces,"47.7184017,-0.2596849",Sarthe
Gîte La Maison d'Agathe,Meublés,Maison,0,0,0,Lieu-dit Les Vallées,53290.0,BOUESSAY,0.0,53037,47.8818327,-0.3951606,0,06 77 79 94 44,0,0,0.0,https://la-maison-dagathe-gite-familial.business.site/,0,"Facebook||https://www.facebook.com/Gite.maisondagathe,Instagram||https://www.instagram.com/gite.maisondagathe/",0,0,non,0,0,non,0,"Parc/jardin,WiFi",Entrée indépendante;Jardin indépendant,"Equipement bébé,Micro ondes,Lave vaisselle",0,0,3 étoiles,3.0,0.0,1.0,10.0,0,"Location de draps,Location de linge,Option nettoyage",Anglais;Français,oui,0,||06 77 79 94 44||maisondagathe@gmail.com,oui,Airbnb||https://www.airbnb.fr/rooms/43474557?source_impression_id=p3_1615281424_lTnCnehnRFJuSYhE&guests=1&adults=1||||||,0.0,"Semaine (meublé)||||||Du lundi soir au jeudi soir. Draps fournis. Supplément linge de toilette.,Week-end (meublé)||||||Weekend (vendredi soir et samedi soir). Draps fournis. Supplément linge de toilette.,Semaine (meublé)||||||Semaine complète 7 jours. Draps fournis.",Chèques bancaires et postaux;Espèces;Virement,"47.8818327,-0.3951606",Mayenne
L'Escale des Roses,Meublés,0,0,0,1 Bd Jacques Savary,0,49700.0,DOUE-EN-ANJOU,0.0,49125,47.187638,-0.279386,0,0,06 50 27 83 79,0,0.0,0,0,0,0,0,oui,0,0,0,0,0,Parking,"Micro ondes,Lave linge,Lave vaisselle",0,0,Non classé,0.0,0.0,0.0,6.0,0,0,Français,0,01/01/2024||31/12/2024||||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,0,0,0,0.0,0,0,"47.187638,-0.279386",Maine-et-Loire
L'Escale,Meublés,Maison,0,0,1 bis rue de la Croix Mouraud,L'escale,44770.0,LA PLAINE-SUR-MER,0.0,44126,47.138069,-2.192914,0,+33683686187,0,0,0.0,0,0,0,0,0,non,0,0,0,0,WiFi,0,"Cheminée,Micro ondes,Lave linge,Lave vaisselle",0,0,3 étoiles,3.0,0.0,0.0,8.0,130,"Fourniture de draps (gratuit),Location/prêt de vélo",0,oui,||||Ouvert toute l'année.||||||||||||||||||||||||||||||||||||||||||||||||||||||||||,||+33683686187||,0,0,0.0,"Nuitée (meublé)||350,00||390,00||,Semaine (meublé)||730,00||900,00||",Chèques bancaires et postaux;Chèques Vacances,"47.138069,-2.192914",Loire-Atlantique
